upgradeContents,upgradeType,upgradeEnhancementSteps,enhancementValue,enhancementFee
IncreaseCatMaximum_1,1,1,8,10
IncreaseCatMaximum_2,1,2,9,20
IncreaseCatMaximum_3,1,3,10,40
IncreaseCatMaximum_4,1,4,11,80
IncreaseCatMaximum_5,1,5,12,160
IncreaseCatMaximum_6,1,6,13,320
IncreaseCatMaximum_7,1,7,14,640
IncreaseCatMaximum_8,1,8,15,1280
IncreaseCatMaximum_9,1,9,16,2560
IncreaseCatMaximum_10,1,10,17,5120
IncreaseCatMaximum_11,1,11,18,10240
IncreaseCatMaximum_12,1,12,19,20480
IncreaseCatMaximum_13,1,13,20,40960
IncreaseCatMaximum_14,1,14,21,81920
IncreaseCatMaximum_15,1,15,22,163840
IncreaseCatMaximum_16,1,16,23,327680
IncreaseCatMaximum_17,1,17,24,655360
IncreaseCatMaximum_18,1,18,25,1310720
IncreaseCatMaximum_19,1,19,26,2621440
IncreaseCatMaximum_20,1,20,27,5242880
IncreaseCatMaximum_21,1,21,28,10485760
IncreaseCatMaximum_22,1,22,29,20971520
IncreaseCatMaximum_23,1,23,30,41943040
IncreaseCatMaximum_24,1,24,31,83886080
IncreaseCatMaximum_25,1,25,32,167772160
IncreaseCatMaximum_26,1,26,33,335544320
IncreaseCatMaximum_27,1,27,34,671088640
IncreaseCatMaximum_28,1,28,35,1342177280
IncreaseCatMaximum_29,1,29,36,2684354560
IncreaseCatMaximum_30,1,30,37,5368709120
IncreaseCatMaximum_31,1,31,38,10737418240
IncreaseCatMaximum_32,1,32,39,21474836480
IncreaseCatMaximum_33,1,33,40,42949672960
IncreaseCatMaximum_34,1,34,41,85899345920
IncreaseCatMaximum_35,1,35,42,172000000000
IncreaseCatMaximum_36,1,36,43,344000000000
IncreaseCatMaximum_37,1,37,44,687000000000
IncreaseCatMaximum_38,1,38,45,1370000000000
IncreaseCatMaximum_39,1,39,46,2750000000000
IncreaseCatMaximum_40,1,40,47,5500000000000
IncreaseCatMaximum_41,1,41,48,11000000000000
IncreaseCatMaximum_42,1,42,49,22000000000000
IncreaseCatMaximum_43,1,43,50,44000000000000
IncreaseCatMaximum_44,1,44,51,88000000000000
IncreaseCatMaximum_45,1,45,52,176000000000000
IncreaseCatMaximum_46,1,46,53,352000000000000
IncreaseCatMaximum_47,1,47,54,704000000000000
IncreaseCatMaximum_48,1,48,55,1410000000000000
IncreaseCatMaximum_49,1,49,56,2810000000000000
IncreaseCatMaximum_50,1,50,57,5630000000000000
IncreaseCatMaximum_51,1,51,58,11300000000000000
IncreaseCatMaximum_52,1,52,59,22500000000000000
IncreaseCatMaximum_53,1,53,60,45000000000000000
IncreaseCatMaximum_54,1,54,61,90100000000000000
IncreaseCatMaximum_55,1,55,62,180000000000000000
IncreaseCatMaximum_56,1,56,63,360000000000000000
IncreaseCatMaximum_57,1,57,64,721000000000000000
IncreaseCatMaximum_58,1,58,65,1440000000000000000
IncreaseCatMaximum_59,1,59,66,2880000000000000000
IncreaseCatMaximum_60,1,60,67,5760000000000000000
ReduceCollectingTime_1,2,1,3,10
ReduceCollectingTime_2,2,2,3,20
ReduceCollectingTime_3,2,3,3,40
ReduceCollectingTime_4,2,4,3,80
ReduceCollectingTime_5,2,5,3,160
ReduceCollectingTime_6,2,6,3,320
ReduceCollectingTime_7,2,7,2,640
ReduceCollectingTime_8,2,8,2,1280
ReduceCollectingTime_9,2,9,2,2560
ReduceCollectingTime_10,2,10,2,5120
ReduceCollectingTime_11,2,11,2,10240
ReduceCollectingTime_12,2,12,2,20480
ReduceCollectingTime_13,2,13,2,40960
ReduceCollectingTime_14,2,14,2,81920
ReduceCollectingTime_15,2,15,2,163840
ReduceCollectingTime_16,2,16,2,327680
ReduceCollectingTime_17,2,17,1,655360
ReduceCollectingTime_18,2,18,1,1310720
ReduceCollectingTime_19,2,19,1,2621440
ReduceCollectingTime_20,2,20,1,5242880
IncreaseFoodMaximum_1,3,1,5,10
IncreaseFoodMaximum_2,3,2,6,20
IncreaseFoodMaximum_3,3,3,7,40
IncreaseFoodMaximum_4,3,4,8,80
IncreaseFoodMaximum_5,3,5,9,160
IncreaseFoodMaximum_6,3,6,10,320
IncreaseFoodMaximum_7,3,7,11,640
IncreaseFoodMaximum_8,3,8,12,1280
